nohup: ignoring input
mkdir: cannot create directory ‘./models//bts_nyu_v2_pytorch_FAM_without_skip’: File exists
You have specified --do_online_eval.
This will evaluate the model every eval_freq 500 steps and save best models for individual eval metrics.
Use GPU: 0 for training
Fixing first conv layer
Total number of parameters: 47000688
Total number of learning parameters: 46766640
Model Initialized on GPU: 0
Initial variables' sum: -4501.829, avg: -19.832
[epoch][s/s_per_e/gs]: [0][0/3029/0], lr: 0.000100000000, loss: 5.606840133667
[epoch][s/s_per_e/gs]: [0][1/3029/1], lr: 0.000099999465, loss: 5.532530784607
[epoch][s/s_per_e/gs]: [0][2/3029/2], lr: 0.000099998930, loss: 4.898521423340
[epoch][s/s_per_e/gs]: [0][3/3029/3], lr: 0.000099998396, loss: 5.422691345215
[epoch][s/s_per_e/gs]: [0][4/3029/4], lr: 0.000099997861, loss: 5.302440643311
[epoch][s/s_per_e/gs]: [0][5/3029/5], lr: 0.000099997326, loss: 4.699943542480
[epoch][s/s_per_e/gs]: [0][6/3029/6], lr: 0.000099996791, loss: 4.498985290527
[epoch][s/s_per_e/gs]: [0][7/3029/7], lr: 0.000099996256, loss: 4.802060127258
[epoch][s/s_per_e/gs]: [0][8/3029/8], lr: 0.000099995721, loss: 5.255486488342
[epoch][s/s_per_e/gs]: [0][9/3029/9], lr: 0.000099995187, loss: 5.145146369934
[epoch][s/s_per_e/gs]: [0][10/3029/10], lr: 0.000099994652, loss: 4.430830955505
[epoch][s/s_per_e/gs]: [0][11/3029/11], lr: 0.000099994117, loss: 3.702723026276
[epoch][s/s_per_e/gs]: [0][12/3029/12], lr: 0.000099993582, loss: 4.824569702148
[epoch][s/s_per_e/gs]: [0][13/3029/13], lr: 0.000099993047, loss: 4.103724956512
[epoch][s/s_per_e/gs]: [0][14/3029/14], lr: 0.000099992512, loss: 4.116494178772
[epoch][s/s_per_e/gs]: [0][15/3029/15], lr: 0.000099991978, loss: 3.545154094696
[epoch][s/s_per_e/gs]: [0][16/3029/16], lr: 0.000099991443, loss: 4.480283737183
[epoch][s/s_per_e/gs]: [0][17/3029/17], lr: 0.000099990908, loss: 3.900701045990
[epoch][s/s_per_e/gs]: [0][18/3029/18], lr: 0.000099990373, loss: 4.211289405823
[epoch][s/s_per_e/gs]: [0][19/3029/19], lr: 0.000099989838, loss: 3.267720222473
[epoch][s/s_per_e/gs]: [0][20/3029/20], lr: 0.000099989303, loss: 3.928988456726
[epoch][s/s_per_e/gs]: [0][21/3029/21], lr: 0.000099988768, loss: 3.532788515091
[epoch][s/s_per_e/gs]: [0][22/3029/22], lr: 0.000099988234, loss: 3.409870862961
[epoch][s/s_per_e/gs]: [0][23/3029/23], lr: 0.000099987699, loss: 3.763247489929
[epoch][s/s_per_e/gs]: [0][24/3029/24], lr: 0.000099987164, loss: 3.778934478760
[epoch][s/s_per_e/gs]: [0][25/3029/25], lr: 0.000099986629, loss: 3.862378358841
[epoch][s/s_per_e/gs]: [0][26/3029/26], lr: 0.000099986094, loss: 3.979977130890
[epoch][s/s_per_e/gs]: [0][27/3029/27], lr: 0.000099985559, loss: 3.118641138077
[epoch][s/s_per_e/gs]: [0][28/3029/28], lr: 0.000099985025, loss: 3.795117378235
[epoch][s/s_per_e/gs]: [0][29/3029/29], lr: 0.000099984490, loss: 3.212467670441
[epoch][s/s_per_e/gs]: [0][30/3029/30], lr: 0.000099983955, loss: 4.240808486938
[epoch][s/s_per_e/gs]: [0][31/3029/31], lr: 0.000099983420, loss: 3.521824359894
