You have specified --do_online_eval.
This will evaluate the model every eval_freq 500 steps and save best models for individual eval metrics.
Use GPU: 0 for training
Fixing first conv layer
Total number of parameters: 47000688
Total number of learning parameters: 46766640
Model Initialized on GPU: 0
Initial variables' sum: -4448.021, avg: -19.595
[epoch][s/s_per_e/gs]: [0][0/3029/0], lr: 0.000100000000, loss: 5.857446670532
[epoch][s/s_per_e/gs]: [0][1/3029/1], lr: 0.000099999465, loss: 5.610051155090
[epoch][s/s_per_e/gs]: [0][2/3029/2], lr: 0.000099998930, loss: 5.086861133575
[epoch][s/s_per_e/gs]: [0][3/3029/3], lr: 0.000099998396, loss: 5.137028694153
[epoch][s/s_per_e/gs]: [0][4/3029/4], lr: 0.000099997861, loss: 4.960379123688
[epoch][s/s_per_e/gs]: [0][5/3029/5], lr: 0.000099997326, loss: 4.653425693512
[epoch][s/s_per_e/gs]: [0][6/3029/6], lr: 0.000099996791, loss: 4.583518028259
[epoch][s/s_per_e/gs]: [0][7/3029/7], lr: 0.000099996256, loss: 4.715273857117
[epoch][s/s_per_e/gs]: [0][8/3029/8], lr: 0.000099995721, loss: 5.017395496368
[epoch][s/s_per_e/gs]: [0][9/3029/9], lr: 0.000099995187, loss: 5.211790084839
[epoch][s/s_per_e/gs]: [0][10/3029/10], lr: 0.000099994652, loss: 4.420151233673
[epoch][s/s_per_e/gs]: [0][11/3029/11], lr: 0.000099994117, loss: 3.409786462784
[epoch][s/s_per_e/gs]: [0][12/3029/12], lr: 0.000099993582, loss: 4.963345527649
[epoch][s/s_per_e/gs]: [0][13/3029/13], lr: 0.000099993047, loss: 4.284945487976
[epoch][s/s_per_e/gs]: [0][14/3029/14], lr: 0.000099992512, loss: 4.053102493286
[epoch][s/s_per_e/gs]: [0][15/3029/15], lr: 0.000099991978, loss: 3.462540626526
[epoch][s/s_per_e/gs]: [0][16/3029/16], lr: 0.000099991443, loss: 4.554651260376
[epoch][s/s_per_e/gs]: [0][17/3029/17], lr: 0.000099990908, loss: 3.641450405121
[epoch][s/s_per_e/gs]: [0][18/3029/18], lr: 0.000099990373, loss: 3.857691049576
[epoch][s/s_per_e/gs]: [0][19/3029/19], lr: 0.000099989838, loss: 3.711476325989
[epoch][s/s_per_e/gs]: [0][20/3029/20], lr: 0.000099989303, loss: 4.184837818146
[epoch][s/s_per_e/gs]: [0][21/3029/21], lr: 0.000099988768, loss: 3.612208604813
[epoch][s/s_per_e/gs]: [0][22/3029/22], lr: 0.000099988234, loss: 3.408332824707
[epoch][s/s_per_e/gs]: [0][23/3029/23], lr: 0.000099987699, loss: 3.540007591248
[epoch][s/s_per_e/gs]: [0][24/3029/24], lr: 0.000099987164, loss: 3.493512630463
[epoch][s/s_per_e/gs]: [0][25/3029/25], lr: 0.000099986629, loss: 3.608207225800
[epoch][s/s_per_e/gs]: [0][26/3029/26], lr: 0.000099986094, loss: 3.968608140945
[epoch][s/s_per_e/gs]: [0][27/3029/27], lr: 0.000099985559, loss: 3.003231287003
[epoch][s/s_per_e/gs]: [0][28/3029/28], lr: 0.000099985025, loss: 3.999769210815
[epoch][s/s_per_e/gs]: [0][29/3029/29], lr: 0.000099984490, loss: 3.547301530838
[epoch][s/s_per_e/gs]: [0][30/3029/30], lr: 0.000099983955, loss: 3.824847936630
[epoch][s/s_per_e/gs]: [0][31/3029/31], lr: 0.000099983420, loss: 3.875214576721
[epoch][s/s_per_e/gs]: [0][32/3029/32], lr: 0.000099982885, loss: 3.948363065720
[epoch][s/s_per_e/gs]: [0][33/3029/33], lr: 0.000099982350, loss: 3.369467258453
[epoch][s/s_per_e/gs]: [0][34/3029/34], lr: 0.000099981816, loss: 3.218090057373
[epoch][s/s_per_e/gs]: [0][35/3029/35], lr: 0.000099981281, loss: 2.619479179382
[epoch][s/s_per_e/gs]: [0][36/3029/36], lr: 0.000099980746, loss: 3.290002822876
[epoch][s/s_per_e/gs]: [0][37/3029/37], lr: 0.000099980211, loss: 3.380849123001
[epoch][s/s_per_e/gs]: [0][38/3029/38], lr: 0.000099979676, loss: 3.107525825500
[epoch][s/s_per_e/gs]: [0][39/3029/39], lr: 0.000099979141, loss: 3.352735996246
[epoch][s/s_per_e/gs]: [0][40/3029/40], lr: 0.000099978607, loss: 3.344245910645
[epoch][s/s_per_e/gs]: [0][41/3029/41], lr: 0.000099978072, loss: 3.815947771072
[epoch][s/s_per_e/gs]: [0][42/3029/42], lr: 0.000099977537, loss: 3.206767082214
[epoch][s/s_per_e/gs]: [0][43/3029/43], lr: 0.000099977002, loss: 2.940436601639
[epoch][s/s_per_e/gs]: [0][44/3029/44], lr: 0.000099976467, loss: 3.209613561630
[epoch][s/s_per_e/gs]: [0][45/3029/45], lr: 0.000099975932, loss: 3.084653377533
[epoch][s/s_per_e/gs]: [0][46/3029/46], lr: 0.000099975397, loss: 4.011418819427
[epoch][s/s_per_e/gs]: [0][47/3029/47], lr: 0.000099974863, loss: 3.560019016266
[epoch][s/s_per_e/gs]: [0][48/3029/48], lr: 0.000099974328, loss: 3.948414802551
[epoch][s/s_per_e/gs]: [0][49/3029/49], lr: 0.000099973793, loss: 3.030854463577
[epoch][s/s_per_e/gs]: [0][50/3029/50], lr: 0.000099973258, loss: 3.337336778641
[epoch][s/s_per_e/gs]: [0][51/3029/51], lr: 0.000099972723, loss: 3.153689384460
[epoch][s/s_per_e/gs]: [0][52/3029/52], lr: 0.000099972188, loss: 4.059353828430
[epoch][s/s_per_e/gs]: [0][53/3029/53], lr: 0.000099971654, loss: 2.986420154572
[epoch][s/s_per_e/gs]: [0][54/3029/54], lr: 0.000099971119, loss: 2.402274131775
[epoch][s/s_per_e/gs]: [0][55/3029/55], lr: 0.000099970584, loss: 2.699428081512
[epoch][s/s_per_e/gs]: [0][56/3029/56], lr: 0.000099970049, loss: 3.143123388290
[epoch][s/s_per_e/gs]: [0][57/3029/57], lr: 0.000099969514, loss: 3.080902099609
[epoch][s/s_per_e/gs]: [0][58/3029/58], lr: 0.000099968979, loss: 3.087862730026
[epoch][s/s_per_e/gs]: [0][59/3029/59], lr: 0.000099968444, loss: 3.020626544952
[epoch][s/s_per_e/gs]: [0][60/3029/60], lr: 0.000099967910, loss: 2.712366342545
[epoch][s/s_per_e/gs]: [0][61/3029/61], lr: 0.000099967375, loss: 3.048107385635
[epoch][s/s_per_e/gs]: [0][62/3029/62], lr: 0.000099966840, loss: 3.311688661575
[epoch][s/s_per_e/gs]: [0][63/3029/63], lr: 0.000099966305, loss: 3.312473058701
[epoch][s/s_per_e/gs]: [0][64/3029/64], lr: 0.000099965770, loss: 2.976494789124
[epoch][s/s_per_e/gs]: [0][65/3029/65], lr: 0.000099965235, loss: 2.517589330673
[epoch][s/s_per_e/gs]: [0][66/3029/66], lr: 0.000099964700, loss: 3.051284551620
[epoch][s/s_per_e/gs]: [0][67/3029/67], lr: 0.000099964166, loss: 2.933852672577
[epoch][s/s_per_e/gs]: [0][68/3029/68], lr: 0.000099963631, loss: 2.948648929596
[epoch][s/s_per_e/gs]: [0][69/3029/69], lr: 0.000099963096, loss: 2.931231498718
[epoch][s/s_per_e/gs]: [0][70/3029/70], lr: 0.000099962561, loss: 3.142924547195
[epoch][s/s_per_e/gs]: [0][71/3029/71], lr: 0.000099962026, loss: 3.271517992020
[epoch][s/s_per_e/gs]: [0][72/3029/72], lr: 0.000099961491, loss: 3.282850027084
[epoch][s/s_per_e/gs]: [0][73/3029/73], lr: 0.000099960956, loss: 2.675780773163
[epoch][s/s_per_e/gs]: [0][74/3029/74], lr: 0.000099960422, loss: 2.855959177017
[epoch][s/s_per_e/gs]: [0][75/3029/75], lr: 0.000099959887, loss: 3.157069921494
[epoch][s/s_per_e/gs]: [0][76/3029/76], lr: 0.000099959352, loss: 2.750705242157
[epoch][s/s_per_e/gs]: [0][77/3029/77], lr: 0.000099958817, loss: 2.544340848923
[epoch][s/s_per_e/gs]: [0][78/3029/78], lr: 0.000099958282, loss: 2.733183145523
[epoch][s/s_per_e/gs]: [0][79/3029/79], lr: 0.000099957747, loss: 3.174910783768
[epoch][s/s_per_e/gs]: [0][80/3029/80], lr: 0.000099957212, loss: 2.444095849991
[epoch][s/s_per_e/gs]: [0][81/3029/81], lr: 0.000099956678, loss: 2.574101924896
[epoch][s/s_per_e/gs]: [0][82/3029/82], lr: 0.000099956143, loss: 2.042249202728
[epoch][s/s_per_e/gs]: [0][83/3029/83], lr: 0.000099955608, loss: 2.465108633041
[epoch][s/s_per_e/gs]: [0][84/3029/84], lr: 0.000099955073, loss: 2.433741807938
[epoch][s/s_per_e/gs]: [0][85/3029/85], lr: 0.000099954538, loss: 3.157689809799
[epoch][s/s_per_e/gs]: [0][86/3029/86], lr: 0.000099954003, loss: 3.006115913391
[epoch][s/s_per_e/gs]: [0][87/3029/87], lr: 0.000099953468, loss: 3.643504142761
[epoch][s/s_per_e/gs]: [0][88/3029/88], lr: 0.000099952934, loss: 2.737083196640
